id,car_make,car_model,year,first_owner,vinnumber
1,Lincoln,MKZ,2012,true,JN8AS5MTXAW052786
2,Mercedes-Benz,SLR McLaren,2007,true,1G6DC8E52C0913930
3,Volvo,XC90,2005,false,1N6AD0CU8AC492684
4,GMC,Yukon XL 2500,2013,true,2G61P5S31D9471965
5,Mazda,B-Series Plus,2001,false,1FTSW3B57AE077337
6,Subaru,Outback,2009,false,WAULC68E34A874301
7,Mitsubishi,Starion,1988,true,1GD22XEGXFZ377680
8,Nissan,350Z,2008,true,WBA3C1G5XDN299434
9,Hyundai,XG350,2002,true,JN8AS5MT2AW285769
10,Chevrolet,Silverado 3500,2006,true,19VDE3F31EE427202
11,Ford,Fusion,2010,true,1GYS4JEF1BR508728
12,GMC,Sierra 2500,2000,true,JN8AS5MT2CW184458
13,Dodge,Ram Van 2500,1995,false,WBS3C9C56FP444766
14,Mazda,Millenia,1996,false,1C4AJWAG4FL517163
15,Mazda,Protege,2003,true,JH4CU2F65AC111926
16,Mercury,Cougar,1985,true,1GT010CGXCF194804
17,Buick,Park Avenue,1995,false,3N1AB6AP5CL323130
18,Subaru,Legacy,1994,false,WAUCFAFR7CA673547
19,Volkswagen,Cabriolet,1993,false,WAUEFBFL3DN784794
20,Jeep,Wrangler,2005,true,3D7LT2ET5AG691418
21,Dodge,Dakota,2006,true,1N4AB7APXEN627095
22,Chevrolet,Express 2500,1996,true,2C4RDGBG6CR343582
23,Pontiac,Bonneville,1965,false,WBY2Z2C5XFV316677
24,Audi,TT,2001,false,1GYS3KEF2BR949177
25,Ford,Thunderbird,1995,true,WAUXU54B52N720862
26,Dodge,Grand Caravan,2005,false,WAUTFAFH3BN423706
27,Nissan,Titan,2012,false,1D4PU5GK0AW270628
28,Pontiac,Bonneville,2000,true,YV4852CT5A1845392
29,Chrysler,LeBaron,1992,false,WBSDE93463C185947
30,Volkswagen,Passat,1997,false,WA1CGAFP9FA554668
31,Pontiac,Bonneville,2001,true,3N1CN7AP6FL953376
32,Mazda,MX-3,1993,true,1G6ET12961B695852
33,Volkswagen,Golf,2012,true,WBA3B9C51FP865074
34,Chevrolet,Express 1500,1997,true,KNAFK4A64F5650019
35,Lexus,RX,2011,true,4T1BF1FK4DU890082
36,Mitsubishi,Mighty Max,1994,true,19UUA9F28AA535795
37,Volvo,V50,2010,true,WA1CGAFE6CD479131
38,Buick,Lucerne,2006,false,1GTN1UEH9EZ667659
39,Lexus,SC,2005,true,WAUWFAFR6CA412066
40,Hillman,Minx Magnificent,1950,false,3VW4A7AT8DM826398
41,Dodge,Intrepid,1999,true,JN8AZ1MUXEW219196
